"path","category","extension","lines","bytes","read_status","purpose","primary_symbols","notes"
"docs\mobile-ui\screenshots\1920x1080-assistant-input-focus.png","DOC",".png","","154052","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-assistant-open.png","DOC",".png","","154058","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-export.png","DOC",".png","","101620","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-record.png","DOC",".png","","206002","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-sidebar-static-controls-inline.png","DOC",".png","","206002","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-transcript.png","DOC",".png","","75480","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-transcript-input-focus.png","DOC",".png","","75476","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\1920x1080-translation.png","DOC",".png","","78505","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-api-panel-open.png","DOC",".png","","23830","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-assistant-input-focus.png","DOC",".png","","46948","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-assistant-open.png","DOC",".png","","46948","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-controls-drawer-open.png","DOC",".png","","36382","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-export.png","DOC",".png","","36741","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-record.png","DOC",".png","","60291","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-sidebar-open.png","DOC",".png","","31854","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-transcript.png","DOC",".png","","34785","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-transcript-input-focus.png","DOC",".png","","34785","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\320x568-translation.png","DOC",".png","","37119","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-api-panel-open.png","DOC",".png","","30929","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-assistant-input-focus.png","DOC",".png","","70260","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-assistant-open.png","DOC",".png","","70380","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-controls-drawer-open.png","DOC",".png","","71814","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-export.png","DOC",".png","","60839","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-record.png","DOC",".png","","100861","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-sidebar-open.png","DOC",".png","","41765","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-transcript.png","DOC",".png","","44896","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-transcript-input-focus.png","DOC",".png","","44896","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\360x800-translation.png","DOC",".png","","49016","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-api-panel-open.png","DOC",".png","","38238","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-assistant-input-focus.png","DOC",".png","","72952","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-assistant-open.png","DOC",".png","","73071","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-controls-drawer-open.png","DOC",".png","","79420","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-export.png","DOC",".png","","68670","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-record.png","DOC",".png","","111700","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-sidebar-open.png","DOC",".png","","49704","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-transcript.png","DOC",".png","","46535","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-transcript-input-focus.png","DOC",".png","","46535","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\412x915-translation.png","DOC",".png","","50226","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-api-panel-open.png","DOC",".png","","21518","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-assistant-input-focus.png","DOC",".png","","46155","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-assistant-open.png","DOC",".png","","46155","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-controls-drawer-open.png","DOC",".png","","20889","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-export.png","DOC",".png","","50139","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-record.png","DOC",".png","","76023","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-sidebar-open.png","DOC",".png","","51835","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-transcript.png","DOC",".png","","35393","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-transcript-input-focus.png","DOC",".png","","35393","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\667x375-translation.png","DOC",".png","","36297","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-api-panel-open.png","DOC",".png","","117900","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-assistant-input-focus.png","DOC",".png","","122524","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-assistant-open.png","DOC",".png","","122588","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-export.png","DOC",".png","","95412","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-record.png","DOC",".png","","164534","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-sidebar-static-controls-inline.png","DOC",".png","","164525","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-transcript.png","DOC",".png","","67094","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-transcript-input-focus.png","DOC",".png","","67089","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\768x1024-translation.png","DOC",".png","","71302","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\screenshots\screenshot-run.json","DOC",".json","1299","35353","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\mobile-ui\TOUCH_AND_FORMS_AUDIT.md","DOC",".md","43","2375","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\intelligence-operation-log.md","DOC",".md","92","7957","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\OPEN_SOURCE_LANDSCAPE.md","DOC",".md","35","3773","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\PRODUCT_SHAPE_DECISION.md","DOC",".md","42","3346","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\PRODUCT_UI_RESEARCH.md","DOC",".md","17","1355","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\PRODUCTIONIZATION_PLAN.md","DOC",".md","43","3536","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\PRODUCTIONIZATION_SUMMARY.md","DOC",".md","36","2422","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\RESTRUCTURE_SUMMARY.md","DOC",".md","103","5046","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\operations\VERIFICATION_MATRIX.md","DOC",".md","12","1592","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\README.md","DOC",".md","47","3170","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\reference\models.md","DOC",".md","405","29429","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"docs\security\security-quality.md","DOC",".md","37","3157","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"index.html","FRONTEND",".html","57","2762","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"LICENSE","DOC","","","1068","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"netlify.toml","INFRA",".toml","16","398","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"package.json","CONFIG",".json","51","1722","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"package-lock.json","CONFIG",".json","82","2334","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"playwright.config.mjs","DOC",".mjs","","445","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"README.md","DOC",".md","132","10131","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"scripts\check-html-links.mjs","SCRIPT",".mjs","","1123","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"scripts\check-json.mjs","SCRIPT",".mjs","","1241","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"scripts\check-js-syntax.mjs","SCRIPT",".mjs","","1340","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"scripts\check-placeholders.mjs","SCRIPT",".mjs","","1757","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"scripts\check-secrets.mjs","SCRIPT",".mjs","","2069","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"SECURITY.md","DOC",".md","25","1651","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"site.webmanifest","FRONTEND",".webmanifest","","403","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"tests\unit\request-timeout.test.mjs","TEST",".mjs","","1771","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"tests\unit\workspace-validation.test.mjs","TEST",".mjs","","2364","binary_or_unread","see docs/intelligence reports","","current refresh inventory"
"tests\web\verbatim.spec.js","TEST",".js","281","14320","inventory_readable","see docs/intelligence reports","","current refresh inventory"
"VERBA_ASSISTANT_REPLICATION_GUIDE.md","DOC",".md","1496","54549","inventory_readable","see docs/intelligence reports","","current refresh inventory"
